"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18";"TOTAL"
269;;4;5;3;6;7;5;3;5;6;4;4;4;;;;;;82
270;;;;;;6;6;5;4;7;5;6;4;5;4;4;5;;92
271;3;4;4;;;;;;;;;5;3;6;3;5;3;5;77
272;;;;;;;;4;5;4;8;;;;;;;;88
273;4;5;5;4;5;;6;3;4;5;4;5;4;6;3;4;3;4;79
274;4;5;6;3;4;4;;;;;;;;;3;5;4;4;78
275;6;4;;;;;;;;;;;;;;;;;85
276;4;4;4;4;4;5;4;;;;;;;;3;4;3;5;75
277;5;4;5;5;6;5;5;4;5;;;;;8;3;6;3;6;91
278;4;4;3;3;7;6;;4;5;6;5;5;4;5;4;6;3;4;83
279;;;;;;;;3;5;6;8;4;3;;;;;;85
280;5;4;5;4;;;;3;4;7;8;4;5;3;5;5;4;3;85
281;;;;;;6;4;3;4;7;5;5;;;;;;;83
282;;;5;5;5;5;4;;;;;;;;;;;;84
283;;4;6;5;6;7;7;4;;;;;;;;;;;95
284;;;;;;;5;4;5;5;5;5;4;6;5;;;;87
285;3;5;5;4;;;;;7;8;7;7;4;7;6;6;6;6;103
286;4;4;5;4;5;4;5;3;;;;;;;;;;;79
287;;;;4;7;5;4;3;4;6;6;5;3;5;4;;;;83
288;;;;4;5;4;5;3;7;8;8;6;3;6;6;6;6;5;97
289;;;4;4;7;;;;;;;;;;;;;;84
290;5;3;5;3;6;4;6;4;5;5;4;7;6;6;;7;4;5;89
291;;;;;;;4;3;4;5;5;5;3;4;4;4;;;76
292;4;4;4;;;;;;;;;;;;3;4;4;4;76
293;;;;;;;5;3;5;;;;;;;;;;83
294;4;4;4;3;6;4;3;6;5;;;;;;;;;5;80
295;;;;;;;5;3;5;6;6;5;4;;;;;;85
296;4;4;5;;;;;;;6;4;6;4;4;3;4;3;3;76
297;;;;3;4;;;;;;;;;;;;;;77
298;;;4;3;7;4;4;;;;;;;;;;;;79
299;5;6;4;4;6;5;;;;;;;;;;5;4;5;87
300;3;5;;5;7;6;5;4;4;6;4;5;4;5;3;5;5;6;87
301;;;;;;;;;4;5;3;5;4;4;4;4;;;76
302;4;5;;3;6;4;4;4;4;4;4;5;3;5;3;3;3;4;72
